time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0762106902925491e-07,-8.120797750856247e-09,10.006657313133529,6.2831761478676444,6.28295728985295,0.0,1.5647264721211807e-05,-8.184237796928378e-07,0.22189289599910567,-0.00045975630178422475,-0.012757686932309935,0.0,474.12336329551124,473.1424270327859,474.3870361548234,474.35174154028647
0.12000000000000001,9.07730732953616e-06,-4.367212247976384e-07,10.024298655129915,6.283050065575646,6.282296139317047,0.0,0.000360539587929281,-2.1568904661420585e-05,0.3661159342096403,-0.005605512179430271,-0.007751058440684651,0.0,450.08691126161705,450.4919838427837,451.48394611289774,451.06869804798674
0.18,5.514852794125547e-05,-6.786800271928883e-06,10.05364965934647,6.282519426024535,6.281813241709177,0.0,0.0012336622744827182,-0.00024250103354003251,0.6121512592207835,-0.016268575489451462,-0.00864950594599156,0.0,481.3714085692223,481.30354885162313,481.4375079103027,480.6302871471277
0.23999999999999996,0.00015924645033079253,-3.8812621190672916e-05,10.093498969021942,6.2816692889006855,6.2816689987911225,0.0,0.0022678824962944683,-0.0009183467265329304,0.7160990487707931,-0.01026973265527752,0.007825601599287198,0.0,437.62813516828925,438.99717455322457,438.54920517990877,439.0472300692807
0.3,0.000329191948115724,-0.00013376462502816304,10.14328539345785,6.2811049166971,6.2828375376246335,0.0,0.0032897270057524654,-0.002317720968095232,0.9432886308421922,-0.007732758009000894,0.036108599676897474,0.0,474.4652160519678,476.6313405162238,476.5534243083227,476.7474076805188
0.36000000000000004,0.0005255312619706159,-0.000310969358031498,10.199798696336133,6.28048638690683,0.001952614767267491,0.0,0.0030607886011113027,-0.0036355825905958067,0.940490282060816,-0.01603538028243837,0.04246431219765912,0.0,402.98499248138205,403.5598981467682,404.8825831383048,404.13511279826986
0.4200000000000001,0.0006515064272167437,-0.0005975930009349857,10.262402375245621,6.279602350329306,0.004307919527605897,0.0,0.0008493384353506,-0.006026456275203668,1.1461144120273719,-0.012250533361732006,0.031910123651900574,0.0,470.0860311084007,469.2682544650338,470.42682016968314,470.7198837667654
0.48000000000000015,0.0005797539272428981,-0.0010568055125963517,10.339730294362214,6.278654751330009,0.006558441570899909,0.0,-0.003511479330685073,-0.0093868107477031,1.4311689163190262,-0.024036014697689824,0.04684485510042507,0.0,492.56105981375185,493.6646767940546,494.182985118282,493.3137089130662
0.5400000000000001,0.0002316145518258159,-0.0017132436845142321,10.427370063770992,6.277178392580733,0.009208953543167198,0.0,-0.008355141694206234,-0.01263403434760676,1.490078872566321,-0.025770838093220644,0.03821734507142849,0.0,426.1049417420347,425.3680134434074,425.792302451725,425.6437560584239
0.6000000000000002,-0.0004821215960314206,-0.0026094512513491234,10.521069686316634,6.2756181944239735,0.012164977970698487,0.0,-0.01572517250979025,-0.017406605561500962,1.6330443977937175,-0.02647226716559156,0.06526442262081829,0.0,451.6804412298048,453.85762984067384,452.2844099150845,452.2277976482429
0.6600000000000003,-0.0017654022754777525,-0.0038608925984136774,10.627741482733924,6.273607687222807,0.016202304759938002,0.0,-0.02756241665579675,-0.02453037206021178,1.9222332641535633,-0.05380045605113457,0.07105604437523715,0.0,495.5826091818213,496.0109587611032,496.8512009227253,494.8432776488129
0.7200000000000003,-0.0037249893473888106,-0.005515939573594594,10.743415989049167,6.2702097135380725,0.02011312470431914,0.0,-0.03812348655380138,-0.030931405648520163,1.9335544650708936,-0.06300054668663385,0.049599150843538456,0.0,412.94485576321244,411.0512199745234,411.56341519038057,410.7458531667066
0.7800000000000004,-0.0064046752484532826,-0.007630011978423913,10.860739639691122,6.265829235873447,0.02332422753392649,0.0,-0.05148846183845741,-0.03989114010979604,1.9771474659578787,-0.12235823657863157,0.060384675678221957,0.0,422.4203088189827,423.35133492843914,424.5034782779308,419.3730032232726
0.8400000000000004,-0.010087725447536113,-0.01048640546830241,10.986445525475887,6.258516390612122,0.026965122887950166,0.0,-0.07171292209444115,-0.05620779252733543,2.2125937694930333,-0.12094340449648096,0.061268644048761686,0.0,480.81406173913115,480.88333511310816,482.51289093315785,482.6075352645412
0.9000000000000005,-0.015054825978672099,-0.01448375711788112,11.12556119070431,6.250877014944695,0.03056181141411507,0.0,-0.09427650758586566,-0.07790261032285095,2.4241330365711025,-0.14481334767706464,0.05715748902090892,0.0,475.9535812857894,475.64112364544184,476.50106206238473,474.65879359807315
0.9600000000000005,-0.02138266482203582,-0.01988477576559075,11.274786792679864,6.242554800909112,0.03516111980709269,0.0,-0.11708411465629025,-0.10301881742691656,2.549733060115592,-0.1286685187141161,0.10019768169198508,0.0,449.8442993416201,453.32002008938696,449.37326910852477,450.6622721283758
1.0200000000000005,-0.029380965103415434,-0.027193576947615306,11.436910176536333,6.23486866242834,0.04107001939187693,0.0,-0.1502885432458554,-0.14159424656579128,2.853593528793087,-0.12699440481187613,0.09481056081408056,0.0,503.75205157992116,503.36943883473566,503.5859845104708,503.6941830481438
1.0800000000000005,-0.039283226320932285,-0.036733015913247305,11.611439106446381,6.227050676529348,0.04660190145039067,0.0,-0.18035669030043874,-0.17716913782276775,2.963685008929936,-0.1378924221353172,0.08638555937220474,0.0,448.965059481791,448.2880271950229,448.51453969225486,447.6130414976503
1.1400000000000006,-0.05130134272252853,-0.048811064372071,11.796688462422125,6.21901392293546,0.05222711875182551,0.0,-0.22088858431821976,-0.22639915764466725,3.2105297952735556,-0.12704189486391615,0.10545130931940583,0.0,488.7044694206211,490.1299237144094,489.88474463340157,490.6761259885386
